time,PM10,T2,rh2,slp,PBLH,wind_speed_10m,wind_speed_925hPa,WIND_DIR,RAIN
1960-04-22,873.6947,308.3755,11.583097,1004.4511,630.50635,2.3934577,2.5085955,NE,1
1960-04-23,747.5048,308.64023,11.046203,1002.8594,553.52356,0.9675893,1.7328594,NW,1
1960-04-24,1345.235,308.4019,8.4980755,1002.85657,677.7527,1.1234154,4.297211,NW,1
1960-04-25,753.5829,308.182,6.5777864,1003.2977,536.7084,1.9640195,3.823319,SW,1
1960-04-26,1139.8457,308.47015,6.3580337,1002.4846,413.28308,1.461995,4.465881,NE,1
1960-04-27,1182.5105,308.55627,12.892456,1003.12585,374.93213,1.3072383,3.1148212,NE,1
1960-04-28,3363.4512,306.73694,43.8483,1006.1096,1125.1096,7.3591466,12.275608,NE,1
1960-04-29,2342.4338,306.33966,25.266235,1008.1336,723.70984,6.211885,8.233779,NE,1
1960-04-30,1214.6543,307.06662,21.579441,1006.32043,807.18585,3.8401465,8.127186,NE,1
1960-05-01,1437.3444,307.3037,14.731354,1006.4885,868.633,3.7508886,5.404863,NE,1
1960-05-02,1326.9263,307.55182,8.352885,1004.8156,436.3791,3.9633129,5.163487,NE,1
1960-05-03,2506.5269,308.39285,8.313605,1004.4958,484.19693,5.1972218,9.088993,NE,1
1960-05-04,1949.6448,308.33438,9.639293,1002.483,487.52606,5.0684237,9.846421,NE,1
1960-05-05,2444.275,308.39685,22.190199,1001.81494,505.72256,2.3106894,6.2174516,SE,1
1960-05-06,2141.7795,308.70688,35.467705,1001.699,673.01495,5.349134,7.02967,SW,1
1960-05-07,1806.8746,307.16925,47.23789,1002.6632,1048.0562,3.8466516,5.271488,SW,1
1960-05-08,1813.0431,308.29944,41.1126,1004.5911,1236.5396,3.1828759,7.065603,SW,1
1960-05-09,1206.6788,309.61798,31.6129,1003.10925,658.6354,1.7424145,1.256478,SE,1
1960-05-10,2766.6145,307.0017,40.623585,1005.14,599.79724,7.396354,10.2590685,NE,1
1960-05-11,4769.0537,306.05826,35.916504,1006.9681,750.9716,8.942791,15.288704,NE,1
1960-05-12,4499.472,305.9184,20.503971,1007.0265,737.83057,10.040025,18.05727,NE,1
1960-05-13,3979.6438,304.92505,14.544289,1007.0891,725.1441,8.593977,16.017233,NE,1
1960-05-14,4452.5845,304.93192,12.890321,1008.1519,787.8557,9.169231,18.38607,NE,1
1960-05-15,4987.9214,305.30902,12.703284,1008.9608,758.38855,9.832894,18.54158,NE,1
1960-05-16,4687.2974,306.07687,13.4602585,1008.3229,743.3701,9.313522,16.096514,NE,1
1960-05-17,3255.4175,306.22144,18.269497,1007.8258,840.536,7.180397,10.33274,NE,1
1960-05-18,3307.9087,306.4455,9.398397,1009.3939,918.1146,7.687778,15.014218,NE,1
1960-05-19,3605.588,304.81674,12.311502,1009.715,845.43774,8.081518,16.555403,NE,1
1960-05-20,4153.4653,304.62076,14.032058,1008.20715,851.9011,8.670763,17.610662,NE,1
1960-05-21,3390.96,304.80878,11.214324,1008.1128,809.4665,7.787921,16.488758,NE,1
1960-05-22,3320.6804,305.2764,11.927712,1007.0129,700.67554,7.3074174,15.317821,NE,1
1960-05-23,3981.5337,306.52786,12.577253,1006.3018,850.3386,8.642652,18.30997,NE,1
1960-05-24,4028.8818,307.42212,12.259859,1006.53894,921.7556,8.769885,17.94159,NE,1
1960-05-25,4208.0024,307.52805,11.721361,1007.76324,1019.78485,9.400029,18.629549,NE,1
1960-05-26,3010.138,306.34064,11.509687,1007.67236,751.58795,7.191264,14.779534,NE,1
1960-05-27,1515.7825,305.57712,10.955331,1006.41614,515.76843,4.1281104,8.006766,NE,1
1960-05-28,1564.1085,307.13638,9.265182,1004.6937,326.87912,3.6724834,7.8995795,NE,1
1960-05-29,2389.6228,307.4445,10.829014,1003.6742,352.5422,4.4003773,6.2419753,NE,1
1960-05-30,1062.5007,308.20337,16.40186,1004.42114,484.78375,1.0909247,0.29100075,NW,1
1960-05-31,1186.4819,308.73288,17.500984,1003.30646,395.22214,1.5896702,1.4979397,NW,1
1960-06-01,2639.7986,309.47833,33.39914,1003.54663,649.08624,3.295393,5.384677,SW,1
1960-06-02,1931.6553,310.07202,26.94853,1003.94336,667.7124,1.9922494,3.3153424,SW,1
1960-06-03,2991.381,309.27588,14.506901,1005.1803,578.1524,3.4655569,3.435213,NE,1
1960-06-04,3716.6533,309.55612,15.879281,1007.0314,932.6256,6.2792783,12.520386,NE,1
1960-06-05,5349.4336,308.79608,9.970009,1006.07007,954.00275,10.246118,20.336235,NE,1
1960-06-06,3314.7761,306.21564,7.7473917,1008.41565,717.8333,7.211557,14.516842,NE,1
1960-06-07,2028.8818,305.2235,9.661463,1009.22876,510.55188,4.949717,7.254103,NE,1
1960-06-08,2522.1064,306.70786,10.641707,1007.3165,590.87866,6.229131,12.36073,NE,1
1960-06-09,3115.9797,307.17438,10.704468,1007.12524,607.988,7.1868463,13.658303,NE,1
1960-06-10,3471.6733,307.0647,8.352598,1007.648,657.5574,7.2344785,14.780271,NE,1
1960-06-11,4448.974,307.27075,9.3702965,1007.3257,726.05286,8.274721,18.44565,NE,1
1960-06-12,3111.1597,307.68048,11.47204,1007.4249,617.5826,6.4036083,13.890559,NE,1
1960-06-13,2125.6335,307.0058,10.335171,1005.2007,508.1247,4.4895873,8.05157,NE,1
1960-06-14,1862.0685,307.13004,8.874021,1004.9529,546.92004,4.5358844,9.077248,NE,1
1960-06-15,3577.0242,309.5263,9.452106,1004.73425,776.2278,5.199646,13.505449,NE,1
