time,PM10,T2,rh2,slp,PBLH,RAINC,wind_speed_10m,wind_speed_925hPa,U10,V10
1960-04-10,4601.1494,302.28546,10.819528,1009.2295,664.6774,0.14599682,9.099819,16.878798,-7.08488,-5.71062
1960-04-11,3638.9714,301.44064,8.531073,1008.99945,530.93494,0.14599682,7.425952,14.5666685,-6.429821,-3.7151263
1960-04-12,2325.0408,301.97473,9.140343,1006.27264,397.44473,0.14599682,4.61974,8.508171,-4.050199,-2.2221353
1960-04-13,1033.9365,304.4939,10.3729315,1004.58765,465.2206,0.14599682,1.4242887,0.724824,-0.39415878,-1.3686626
1960-04-14,1575.4368,306.8859,34.077484,1004.56573,1034.9133,0.62328106,4.0175395,9.339269,0.6900996,3.9578261
1960-04-15,2132.0178,306.26132,30.787325,1004.8359,887.1041,2.0551338,3.7334175,6.64834,3.5804791,1.0576274
1960-04-16,1747.2137,302.80014,8.218813,1005.9707,546.8802,2.0551338,4.924923,9.005306,4.021106,-2.8435144
1960-04-17,1475.5393,303.3226,9.710557,1007.6018,607.8724,2.0551338,4.660645,7.7699747,1.745624,-4.3213897
1960-04-18,1924.8452,305.56494,13.531233,1006.2738,721.233,2.0551338,4.348842,7.523217,0.26392388,-4.340826
1960-04-19,2078.561,307.35846,15.962286,1005.52594,556.8884,2.0551338,3.722456,8.150423,-2.6874106,-2.5757527
1960-04-20,1904.5,307.30032,17.541994,1005.6475,670.1364,2.0551338,4.4764237,6.0609303,-4.247409,-1.413466
1960-04-21,831.38074,307.0013,18.015905,1005.78937,652.6085,2.0551338,2.0534658,2.251213,-0.73078454,-1.9190298
1960-04-22,873.6947,308.3755,11.583097,1004.4511,630.50635,2.0551338,2.3934577,2.5085955,-2.0231452,-1.2788757
1960-04-23,747.5048,308.64023,11.046203,1002.8594,553.52356,2.0551338,0.9675893,1.7328594,0.9096259,-0.32986328
1960-04-24,1345.235,308.4019,8.4980755,1002.85657,677.7527,2.0551338,1.1234154,4.297211,0.509218,-1.0013785
1960-04-25,753.5829,308.182,6.5777864,1003.2977,536.7084,2.0551338,1.9640195,3.823319,1.9629441,0.06498435
1960-04-26,1139.8457,308.47015,6.3580337,1002.4846,413.28308,2.0551338,1.461995,4.465881,-1.2378799,-0.77787066
1960-04-27,1182.5105,308.55627,12.892456,1003.12585,374.93213,2.0551338,1.3072383,3.1148212,-0.92069495,-0.92800474
1960-04-28,3363.4512,306.73694,43.8483,1006.1096,1125.1096,2.0551338,7.3591466,12.275608,-6.499286,-3.452002
1960-04-29,2342.4338,306.33966,25.266235,1008.1336,723.70984,2.0551338,6.211885,8.233779,-5.2553864,-3.311862
1960-04-30,1214.6543,307.06662,21.579441,1006.32043,807.18585,2.0551338,3.8401465,8.127186,-3.66586,-1.1437639
1960-05-01,1437.3444,307.3037,14.731354,1006.4885,868.633,2.0551338,3.7508886,5.404863,-3.5997205,-1.054124
1960-05-02,1326.9263,307.55182,8.352885,1004.8156,436.3791,2.0551338,3.9633129,5.163487,-2.6895907,-2.911005
1960-05-03,2506.5269,308.39285,8.313605,1004.4958,484.19693,2.0551338,5.1972218,9.088993,-3.815045,-3.5293832
1960-05-04,1949.6448,308.33438,9.639293,1002.483,487.52606,2.0551338,5.0684237,9.846421,-4.189887,-2.8519757
1960-05-05,2444.275,308.39685,22.190199,1001.81494,505.72256,2.0783105,2.3106894,6.2174516,-0.46262735,2.263904
1960-05-06,2141.7795,308.70688,35.467705,1001.699,673.01495,2.1014872,5.349134,7.02967,2.9768643,4.4442673
1960-05-07,1806.8746,307.16925,47.23789,1002.6632,1048.0562,5.83519,3.8466516,5.271488,0.8228643,3.7576087
1960-05-08,1813.0431,308.29944,41.1126,1004.5911,1236.5396,9.382795,3.1828759,7.065603,1.3644367,2.875589
1960-05-09,1206.6788,309.61798,31.6129,1003.10925,658.6354,9.730339,1.7424145,1.256478,-1.7415977,0.05334449
1960-05-10,2766.6145,307.0017,40.623585,1005.14,599.79724,9.730339,7.396354,10.2590685,-6.664523,-3.2078319
1960-05-11,4769.0537,306.05826,35.916504,1006.9681,750.9716,9.8385105,8.942791,15.288704,-5.770845,-6.831608
1960-05-12,4499.472,305.9184,20.503971,1007.0265,737.83057,9.851671,10.040025,18.05727,-7.2816405,-6.9122944
1960-05-13,3979.6438,304.92505,14.544289,1007.0891,725.1441,9.851671,8.593977,16.017233,-6.6063843,-5.4965553
1960-05-14,4452.5845,304.93192,12.890321,1008.1519,787.8557,9.851671,9.169231,18.38607,-6.7054715,-6.253916
1960-05-15,4987.9214,305.30902,12.703284,1008.9608,758.38855,9.851671,9.832894,18.54158,-6.845152,-7.059016
1960-05-16,4687.2974,306.07687,13.4602585,1008.3229,743.3701,9.851671,9.313522,16.096514,-6.299185,-6.8601727
1960-05-17,3255.4175,306.22144,18.269497,1007.8258,840.536,9.9020405,7.180397,10.33274,-5.3852634,-4.7494254
1960-05-18,3307.9087,306.4455,9.398397,1009.3939,918.1146,9.95241,7.687778,15.014218,-5.8622713,-4.9735003
1960-05-19,3605.588,304.81674,12.311502,1009.715,845.43774,9.95241,8.081518,16.555403,-6.167511,-5.2223306
1960-05-20,4153.4653,304.62076,14.032058,1008.20715,851.9011,9.95241,8.670763,17.610662,-6.3741517,-5.8781223
1960-05-21,3390.96,304.80878,11.214324,1008.1128,809.4665,9.95241,7.787921,16.488758,-5.5525994,-5.460801
1960-05-22,3320.6804,305.2764,11.927712,1007.0129,700.67554,9.95241,7.3074174,15.317821,-5.4205837,-4.9005733
1960-05-23,3981.5337,306.52786,12.577253,1006.3018,850.3386,9.95241,8.642652,18.30997,-5.9042673,-6.3115015
1960-05-24,4028.8818,307.42212,12.259859,1006.53894,921.7556,9.95241,8.769885,17.94159,-5.945627,-6.4467363
1960-05-25,4208.0024,307.52805,11.721361,1007.76324,1019.78485,9.95241,9.400029,18.629549,-6.2419844,-7.028384
1960-05-26,3010.138,306.34064,11.509687,1007.67236,751.58795,9.95241,7.191264,14.779534,-5.518943,-4.6103745
1960-05-27,1515.7825,305.57712,10.955331,1006.41614,515.76843,9.95241,4.1281104,8.006766,-3.0323033,-2.8011484
1960-05-28,1564.1085,307.13638,9.265182,1004.6937,326.87912,9.95241,3.6724834,7.8995795,-2.19891,-2.9414163
1960-05-29,2389.6228,307.4445,10.829014,1003.6742,352.5422,9.95241,4.4003773,6.2419753,-3.4651294,-2.712231
1960-05-30,1062.5007,308.20337,16.40186,1004.42114,484.78375,9.95241,1.0909247,0.29100075,0.37481284,-1.0245155
1960-05-31,1186.4819,308.73288,17.500984,1003.30646,395.22214,9.95241,1.5896702,1.4979397,1.0286163,-1.212023
1960-06-01,2639.7986,309.47833,33.39914,1003.54663,649.08624,9.95241,3.295393,5.384677,2.6699336,1.9315977
1960-06-02,1931.6553,310.07202,26.94853,1003.94336,667.7124,9.95241,1.9922494,3.3153424,1.9798012,0.22236222
1960-06-03,2991.381,309.27588,14.506901,1005.1803,578.1524,9.95241,3.4655569,3.435213,-2.852119,-1.9686295
1960-06-04,3716.6533,309.55612,15.879281,1007.0314,932.6256,9.95241,6.2792783,12.520386,-4.9760127,-3.829965
1960-06-05,5349.4336,308.79608,9.970009,1006.07007,954.00275,9.95241,10.246118,20.336235,-7.551406,-6.9252577
1960-06-06,3314.7761,306.21564,7.7473917,1008.41565,717.8333,9.95241,7.211557,14.516842,-6.6652026,-2.7534757
1960-06-07,2028.8818,305.2235,9.661463,1009.22876,510.55188,9.95241,4.949717,7.254103,-4.164768,-2.6747718
1960-06-08,2522.1064,306.70786,10.641707,1007.3165,590.87866,9.95241,6.229131,12.36073,-4.480479,-4.327515
1960-06-09,3115.9797,307.17438,10.704468,1007.12524,607.988,9.95241,7.1868463,13.658303,-6.166197,-3.6917176
1960-06-10,3471.6733,307.0647,8.352598,1007.648,657.5574,9.95241,7.2344785,14.780271,-5.303223,-4.9207215
1960-06-11,4448.974,307.27075,9.3702965,1007.3257,726.05286,9.95241,8.274721,18.44565,-6.2991633,-5.365776
1960-06-12,3111.1597,307.68048,11.47204,1007.4249,617.5826,9.95241,6.4036083,13.890559,-5.6076417,-3.0920146
1960-06-13,2125.6335,307.0058,10.335171,1005.2007,508.1247,9.95241,4.4895873,8.05157,-4.022518,-1.9939263
1960-06-14,1862.0685,307.13004,8.874021,1004.9529,546.92004,9.95241,4.5358844,9.077248,-3.3182302,-3.0925066
1960-06-15,3577.0242,309.5263,9.452106,1004.73425,776.2278,9.95241,5.199646,13.505449,-3.9662795,-3.3622828
1960-06-16,3418.6057,306.9496,45.727036,1007.59283,870.9295,9.95241,2.754931,4.598393,0.80878973,2.6335344
1960-06-17,1573.1041,307.18347,36.024475,1007.0629,795.35376,9.95241,1.2605853,2.6656742,1.1497827,-0.5167931
1960-06-18,2141.5051,307.93158,20.533573,1006.0131,894.7343,9.95241,3.0558681,5.4023848,-2.5052478,-1.7498752
1960-06-19,3538.4202,308.937,13.163714,1003.8067,877.09924,9.95241,6.775355,14.458181,-5.80983,-3.4858723
1960-06-20,3696.9995,304.09653,44.560604,1005.14307,414.92657,9.95241,5.5990486,9.059721,0.3034379,5.5908203
1960-06-21,1639.381,303.72635,57.3643,1007.7683,884.8932,9.95241,3.521827,5.796809,0.41122878,3.497736
1960-06-22,1685.7413,305.5012,46.694813,1007.1485,939.6653,9.95241,5.123385,7.631827,4.172742,2.9727592
1960-06-23,2113.5225,307.40625,37.178688,1004.5459,670.8864,9.95241,3.091072,4.405761,2.8632858,1.1646122
1960-06-24,2481.4314,306.62808,41.722095,1005.3533,800.26355,9.95241,3.8568015,4.9510217,2.8755784,2.5702076
1960-06-25,2449.4407,308.85187,18.220617,1004.3444,675.2487,9.95241,4.280915,8.80363,-3.299921,-2.7270412
1960-06-26,3964.8909,309.69586,14.887234,1004.13794,793.9945,9.95241,6.691966,13.782869,-5.8271646,-3.290374
1960-06-27,1899.7251,307.38153,41.431984,1005.7509,716.0736,9.95241,3.5442379,4.1179714,3.2362404,1.4451195
1960-06-28,1114.2568,307.75757,36.771526,1006.383,585.06903,10.31005,2.5494199,4.633473,2.5485902,-0.06503868
1960-06-29,1745.4252,308.3758,18.170862,1004.323,516.14777,10.816095,3.8351555,8.697675,-3.2190974,-2.0846653
1960-06-30,3804.6436,307.39767,35.8311,1004.2715,518.6643,10.816095,2.3860624,1.2555871,2.3708594,0.26892313
1960-07-01,706.34,310.08585,16.733877,1003.0972,571.50226,0.0,4.3755875,6.8032613,-4.313377,-0.7352169
1960-07-02,2436.6995,304.67252,56.27437,1006.3114,863.7093,1.2508421,6.3755875,7.262172,-0.364012,6.3651876
1960-07-03,758.7244,303.75098,53.55278,1007.3579,796.5183,2.5016842,2.8681924,2.7232072,0.22140612,2.8596342
1960-07-04,1130.8522,306.4038,37.29315,1004.5742,626.47614,2.5016842,0.8565199,1.885043,0.8463034,-0.13189712
1960-07-05,1739.5355,307.4731,14.595229,1001.63446,356.14987,2.5016842,1.8487984,10.482462,-0.9105278,-1.6090353
1960-07-06,4791.364,306.79504,42.15876,1001.4675,732.8341,3.3026028,4.400368,5.7007174,1.084515,4.26463
1960-07-07,1879.269,303.04742,60.014183,1006.1557,822.14044,7.8127174,6.6602817,8.933797,-5.15197,4.2209663
1960-07-08,850.223,301.58673,58.95202,1011.99445,816.40564,8.98283,3.729445,7.1733437,-1.0171938,3.5880463
1960-07-09,1318.9526,305.99487,44.021675,1008.9355,890.2199,8.98283,5.8613977,9.59879,5.8408375,-0.49050826
1960-07-10,2446.265,307.82053,29.135124,1004.9672,612.28687,8.98283,2.6595595,6.583575,0.38579404,-2.6314292
1960-07-11,1113.489,307.06403,17.89439,1003.1265,402.26697,8.98283,2.505621,4.2705307,-1.8217258,-1.7203054
1960-07-12,1998.9554,306.62933,38.605415,1003.8817,839.56445,8.98283,3.1578174,5.886504,1.9813027,2.4589124
1960-07-13,2412.7246,306.4555,45.94003,1006.23395,787.9943,9.371571,5.5731993,7.5863028,3.4672234,4.36336
1960-07-14,1422.1459,299.018,83.93247,1008.2361,366.07678,25.721395,3.4900732,5.902452,0.33875692,3.473594
1960-07-15,403.4537,301.01898,72.32026,1009.4544,726.9769,37.049934,3.7017162,5.5925255,1.6782559,3.2994182
1960-07-16,335.20242,303.82162,57.752514,1008.43616,862.4192,37.676743,1.9767107,1.7386745,0.67473483,1.8579876
1960-07-17,385.59857,305.38293,50.687134,1007.2742,907.2707,39.23597,2.0292926,1.2123024,0.6058473,1.936744
1960-07-18,736.0431,303.51758,58.766304,1008.87537,767.2985,39.23597,4.8225036,5.7666006,2.3126655,4.2317986
1960-07-19,809.61884,303.21732,58.87171,1009.13135,764.6663,40.73746,5.0069904,6.577806,3.7954366,3.2656717
1960-07-20,852.9118,304.5926,53.92369,1006.69495,644.5646,41.769314,5.502712,6.3060565,4.32057,3.407714
1960-07-21,1189.4866,305.56186,51.429935,1006.8833,769.2842,42.631584,4.7868743,5.980844,3.2307756,3.5321743
1960-07-22,1350.4939,304.78934,53.57178,1007.7357,715.22156,46.52382,6.561204,9.0003395,5.984433,2.6899738
1960-07-23,1171.609,305.1161,53.529358,1007.3542,698.34863,51.10206,5.413205,8.570482,4.91256,2.2736628
1960-07-24,1741.2897,307.36737,41.389523,1004.449,773.96814,52.235603,1.7869148,6.0290174,0.6733837,-1.6551795
1960-07-25,2920.5176,306.19943,51.067627,1004.5086,789.50525,52.249065,4.3919206,5.3141403,2.2496512,3.7720068
1960-07-26,2095.1135,303.3512,62.767303,1007.6338,680.3686,52.560772,6.7960978,8.525397,2.276484,6.4034805
1960-07-27,574.94366,303.31506,62.590908,1008.98737,713.1061,54.633606,3.983393,5.1005735,2.25296,3.2850556
1960-07-28,938.0939,303.89148,58.66233,1008.1544,557.77423,58.773422,6.331621,8.363124,5.4802494,3.1711657
1960-07-29,549.8127,303.66077,62.67485,1007.30597,533.526,71.97826,3.608277,4.781577,2.43222,2.6653273
1960-07-30,758.345,305.8477,53.020267,1005.7162,682.98364,75.1382,1.0456913,3.4671524,0.19580674,1.0271952
1960-07-31,852.133,303.07498,59.856964,1010.5417,884.0556,75.1382,5.18818,6.364949,1.0738189,5.075837
1960-08-01,1067.4973,305.08606,50.393204,1008.83514,721.4307,75.1382,5.2522383,7.01155,5.1053534,1.2334398
1960-08-02,1715.7517,308.49582,30.68557,1004.2847,804.4329,75.1382,2.4944003,7.134106,0.12015396,-2.4915047
1960-08-03,3961.8154,305.74905,37.613377,1004.8235,767.9674,75.1382,3.5516055,5.8410606,-2.6451366,2.3700535
1960-08-04,1329.5712,303.8181,57.077206,1007.85785,843.1195,75.1382,3.7354195,5.113168,3.0970063,2.0885189
1960-08-05,1701.0415,308.03363,37.130035,1004.62085,882.4702,75.19581,1.8341163,5.03245,0.61884224,-1.7265621
1960-08-06,2230.7666,303.8695,58.873383,1005.6948,846.0982,77.174614,7.1546154,8.950521,-4.741668,5.3577147
1960-08-07,641.78784,300.88745,65.486244,1008.923,592.92487,77.441315,3.636969,4.484592,-1.7338461,3.1970801
1960-08-08,904.1329,301.6698,62.90722,1008.55664,524.364,78.77876,4.446562,5.302211,2.7673552,3.4804678
1960-08-09,1094.9109,303.53757,56.867092,1007.69104,759.9651,79.733665,3.565933,3.8692348,1.6773529,3.1468024
1960-08-10,956.8059,304.12256,55.352364,1009.3308,812.2695,79.86257,3.9503005,4.461763,1.1012174,3.7937045
